CommitmentID,CommitmentDate,FinancialYear,PurchaseRequisitionReference,PurchaseOrderReference,ProgrammeCode,DirectorateCode,CostCentreCode,RegionCode,ActivityCode,VoteCode,FundSourceCode,SupplierCategory,CommitmentAmount,AmountInvoiced,AmountPaid,OutstandingCommitment,ExpectedDeliveryDate,CommitmentStatus,DaysOutstanding,ResponsibleRole,RiskRating
CMT-000012,2023-07-14,FY2023/2024,PR-818565,PO-248601,PRG-08,DIR-08,CC-008,RG-01,ACT-019,V-2210,FS-01,Construction,2705000,2705000,370000,2335000,2023-09-14,Partially Paid,1052,Project Manager,Critical
CMT-000013,2023-11-17,FY2023/2024,PR-387571,PO-627725,PRG-12,DIR-12,CC-012,RG-01,ACT-040,V-5130,FS-01,Printing and Stationery,2684000,0,0,2684000,2024-03-20,Overdue,926,Cost Centre Manager,Critical
CMT-000014,2024-05-12,FY2023/2024,PR-242870,PO-804496,PRG-13,DIR-13,CC-021,RG-08,ACT-029,V-2440,FS-02,ICT Services,2147000,1149000,603000,1544000,2024-09-20,Partially Paid,749,Project Manager,Critical
CMT-000015,2023-11-19,FY2023/2024,PR-562566,PO-862019,PRG-05,DIR-05,CC-005,RG-01,ACT-011,V-2220,FS-02,Professional Services,1101000,0,0,1101000,2024-03-15,Overdue,924,Project Manager,Critical
CMT-000016,2023-09-19,FY2023/2024,PR-980492,PO-774544,PRG-13,DIR-13,CC-014,RG-01,ACT-029,V-2340,FS-04,Utilities,2517000,2517000,2017000,500000,2023-11-21,Partially Paid,985,Cost Centre Manager,Critical
CMT-000017,2023-12-26,FY2023/2024,PR-622662,PO-587628,PRG-07,DIR-07,CC-007,RG-01,ACT-017,V-2110,FS-01,Travel and Accommodation,2219000,0,0,2219000,2024-04-29,Overdue,887,Procurement Officer,Critical
CMT-000018,2023-10-08,FY2023/2024,PR-110904,PO-231010,PRG-11,DIR-11,CC-032,RG-01,ACT-025,V-2460,FS-02,Security Services,237000,237000,72000,165000,2024-02-22,Partially Paid,966,Cost Centre Manager,Critical
CMT-000019,2024-02-15,FY2023/2024,PR-373053,PO-467453,PRG-05,DIR-05,CC-005,RG-01,ACT-013,V-2420,FS-01,Equipment,2982000,1277000,746000,2236000,2024-04-20,Partially Paid,836,Cost Centre Manager,Critical
CMT-000020,2024-02-20,FY2023/2024,PR-288444,PO-307905,PRG-13,DIR-13,CC-021,RG-08,ACT-029,V-2430,FS-01,Construction,2260000,0,0,2260000,2024-05-26,Overdue,831,Cost Centre Manager,Critical
CMT-000021,2024-03-10,FY2023/2024,PR-386221,PO-673244,PRG-13,DIR-13,CC-016,RG-03,ACT-029,V-2340,FS-01,Security Services,3382000,3382000,2947000,435000,2024-05-15,Partially Paid,812,Procurement Officer,Critical
CMT-000022,2023-10-12,FY2023/2024,PR-258132,PO-658991,PRG-11,DIR-11,CC-029,RG-02,ACT-025,V-2390,FS-03,Travel and Accommodation,2497000,957000,762000,1735000,2024-03-01,Partially Paid,962,Procurement Officer,Critical
CMT-000023,2023-08-01,FY2023/2024,PR-494891,PO-946190,PRG-13,DIR-13,CC-016,RG-03,ACT-029,V-2460,FS-01,ICT Services,1628000,1628000,1012000,616000,2023-12-16,Partially Paid,1034,Project Manager,Critical
CMT-000024,2024-05-18,FY2023/2024,PR-344494,PO-384578,PRG-13,DIR-13,CC-018,RG-05,ACT-030,V-2220,FS-02,Security Services,512000,0,0,512000,2024-09-15,Overdue,743,Cost Centre Manager,Critical
CMT-000025,2023-10-14,FY2023/2024,PR-337213,PO-249999,PRG-13,DIR-13,CC-013,RG-01,ACT-030,V-2220,FS-01,Equipment,756000,651000,392000,364000,2023-12-17,Partially Paid,960,Procurement Officer,Critical
CMT-000026,2024-05-23,FY2023/2024,PR-484415,PO-510541,PRG-13,DIR-13,CC-015,RG-02,ACT-029,V-3130,FS-04,Equipment,3045000,1481000,570000,2475000,2024-10-24,Partially Paid,738,Project Manager,Critical
CMT-000027,2023-11-07,FY2023/2024,PR-812391,PO-835294,PRG-13,DIR-13,CC-018,RG-05,ACT-030,V-2212,FS-02,Fuel and Lubricants,1159000,1159000,184000,0,2023-12-28,Cancelled,936,Project Manager,Critical
CMT-000028,2024-02-17,FY2023/2024,PR-494611,PO-286221,PRG-13,DIR-13,CC-021,RG-08,ACT-029,V-2510,FS-01,Equipment,1012000,366000,26000,986000,2024-04-12,Partially Paid,834,Project Manager,Critical
CMT-000029,2024-04-12,FY2023/2024,PR-716530,PO-956121,PRG-08,DIR-08,CC-008,RG-01,ACT-020,V-2540,FS-04,Training,1144000,664000,282000,862000,2024-09-16,Partially Paid,779,Procurement Officer,Critical
CMT-000030,2023-11-06,FY2023/2024,PR-302541,PO-178244,PRG-13,DIR-13,CC-014,RG-01,ACT-029,V-2450,FS-01,Security Services,3080000,990000,319000,2761000,2024-03-31,Partially Paid,937,Procurement Officer,Critical
CMT-000031,2023-08-27,FY2023/2024,PR-416732,PO-616433,PRG-12,DIR-12,CC-022,RG-02,ACT-028,V-3130,FS-01,Utilities,1515000,727000,421000,1094000,2024-01-21,Partially Paid,1008,Procurement Officer,Critical
CMT-000032,2023-12-11,FY2023/2024,PR-471741,PO-903345,PRG-13,DIR-13,CC-019,RG-06,ACT-029,V-2330,FS-02,Printing and Stationery,3265000,0,0,3265000,2024-04-09,Overdue,902,Project Manager,Critical
CMT-000033,2024-02-29,FY2023/2024,PR-382376,PO-796748,PRG-13,DIR-13,CC-020,RG-07,ACT-029,V-4110,FS-01,Security Services,3350000,3350000,1739000,1611000,2024-06-26,Partially Paid,822,Procurement Officer,Critical
CMT-000034,2024-02-01,FY2023/2024,PR-881097,PO-815653,PRG-02,DIR-02,CC-002,RG-01,ACT-003,V-3120,FS-01,Maintenance,549000,460000,87000,0,2024-04-24,Cancelled,850,Cost Centre Manager,Critical
CMT-000035,2024-03-13,FY2023/2024,PR-708560,PO-908373,PRG-02,DIR-02,CC-002,RG-01,ACT-003,V-5130,FS-02,Maintenance,230000,0,0,230000,2024-04-25,Overdue,809,Project Manager,Critical
CMT-000036,2024-05-22,FY2023/2024,PR-397273,PO-499285,PRG-06,DIR-06,CC-006,RG-01,ACT-016,V-2212,FS-02,Utilities,749000,231000,64000,685000,2024-09-02,Partially Paid,739,Project Manager,Critical
CMT-000037,2024-04-10,FY2023/2024,PR-361946,PO-916443,PRG-12,DIR-12,CC-028,RG-02,ACT-040,V-3140,FS-02,Construction,711000,0,0,711000,2024-09-06,Overdue,781,Project Manager,Critical
CMT-000038,2023-07-25,FY2023/2024,PR-927173,PO-929092,PRG-13,DIR-13,CC-015,RG-02,ACT-030,V-2220,FS-01,Security Services,3448000,0,0,3448000,2023-11-25,Overdue,1041,Procurement Officer,Critical
CMT-000039,2023-10-18,FY2023/2024,PR-492978,PO-135650,PRG-13,DIR-13,CC-017,RG-04,ACT-030,V-4110,FS-01,Training,2843000,2531000,1507000,0,2023-11-24,Cancelled,956,Procurement Officer,Critical
CMT-000040,2023-07-19,FY2023/2024,PR-945641,PO-690181,PRG-13,DIR-13,CC-017,RG-04,ACT-029,V-5130,FS-01,Equipment,183000,183000,170000,13000,2023-10-03,Partially Paid,1047,Project Manager,Critical
CMT-000041,2023-09-20,FY2023/2024,PR-120039,PO-300641,PRG-02,DIR-02,CC-002,RG-01,ACT-005,V-2390,FS-03,Utilities,2234000,0,0,2234000,2023-12-12,Overdue,984,Project Manager,Critical
CMT-000042,2023-11-15,FY2023/2024,PR-492946,PO-429693,PRG-08,DIR-08,CC-008,RG-01,ACT-019,V-2310,FS-01,Consultancy,2356000,2356000,201000,2155000,2023-12-27,Partially Paid,928,Cost Centre Manager,Critical
CMT-000043,2024-02-09,FY2023/2024,PR-141850,PO-442655,PRG-11,DIR-11,CC-011,RG-01,ACT-026,V-2530,FS-01,Construction,2718000,2718000,920000,1798000,2024-03-26,Partially Paid,842,Cost Centre Manager,Critical
CMT-000044,2024-01-04,FY2023/2024,PR-746778,PO-201506,PRG-05,DIR-05,CC-005,RG-01,ACT-012,V-2310,FS-01,Security Services,1933000,0,0,1933000,2024-06-08,Overdue,878,Project Manager,Critical
CMT-000045,2023-11-04,FY2023/2024,PR-856589,PO-785471,PRG-11,DIR-11,CC-011,RG-01,ACT-025,V-2250,FS-01,Consultancy,2116000,807000,396000,1720000,2024-03-07,Partially Paid,939,Procurement Officer,Critical
CMT-000046,2024-01-08,FY2023/2024,PR-207963,PO-365583,PRG-03,DIR-03,CC-003,RG-01,ACT-006,V-2240,FS-01,Utilities,1262000,0,0,1262000,2024-06-03,Overdue,874,Cost Centre Manager,Critical
CMT-000047,2024-05-31,FY2023/2024,PR-602660,PO-268490,PRG-12,DIR-12,CC-024,RG-05,ACT-027,V-5110,FS-01,Construction,2469000,1843000,1447000,1022000,2024-09-16,Partially Paid,730,Procurement Officer,Critical
CMT-000048,2024-01-23,FY2023/2024,PR-105466,PO-646452,PRG-03,DIR-03,CC-003,RG-01,ACT-006,V-2450,FS-04,ICT Services,122000,52000,6000,116000,2024-06-24,Partially Paid,859,Procurement Officer,Critical
CMT-000049,2023-08-31,FY2023/2024,PR-603834,PO-986198,PRG-09,DIR-09,CC-009,RG-01,ACT-021,V-2420,FS-01,Professional Services,2303000,0,0,2303000,2023-12-01,Overdue,1004,Project Manager,Critical
CMT-000050,2024-03-11,FY2023/2024,PR-321339,PO-796356,PRG-08,DIR-08,CC-008,RG-01,ACT-020,V-3130,FS-01,Printing and Stationery,3044000,0,0,0,2024-08-22,Cancelled,811,Cost Centre Manager,Critical
CMT-000051,2023-09-27,FY2023/2024,PR-610870,PO-845579,PRG-06,DIR-06,CC-006,RG-01,ACT-015,V-2390,FS-02,Professional Services,524000,308000,64000,460000,2024-01-10,Partially Paid,977,Cost Centre Manager,Critical
CMT-000052,2024-02-19,FY2023/2024,PR-280947,PO-104914,PRG-03,DIR-03,CC-003,RG-01,ACT-007,V-2510,FS-02,Printing and Stationery,515000,289000,269000,246000,2024-06-07,Partially Paid,832,Project Manager,Critical
CMT-000053,2024-05-13,FY2023/2024,PR-798183,PO-689795,PRG-12,DIR-12,CC-023,RG-01,ACT-040,V-3110,FS-01,Equipment,2540000,2540000,2342000,198000,2024-10-16,Partially Paid,748,Project Manager,Critical
CMT-000054,2023-09-03,FY2023/2024,PR-432508,PO-441625,PRG-13,DIR-13,CC-017,RG-04,ACT-030,V-2450,FS-01,Consultancy,874000,704000,507000,367000,2023-10-03,Partially Paid,1001,Cost Centre Manager,Critical
CMT-000055,2024-03-22,FY2023/2024,PR-654161,PO-641806,PRG-11,DIR-11,CC-032,RG-01,ACT-025,V-2120,FS-04,Maintenance,374000,0,0,374000,2024-04-28,Overdue,800,Cost Centre Manager,Critical
CMT-000056,2024-05-08,FY2023/2024,PR-284843,PO-355908,PRG-08,DIR-08,CC-008,RG-01,ACT-019,V-2450,FS-01,Construction,566000,360000,173000,393000,2024-07-31,Partially Paid,753,Project Manager,Critical
CMT-000057,2023-08-13,FY2023/2024,PR-161892,PO-695606,PRG-11,DIR-11,CC-011,RG-01,ACT-026,V-2360,FS-03,Professional Services,272000,0,0,272000,2023-10-09,Overdue,1022,Cost Centre Manager,Critical
CMT-000058,2023-12-31,FY2023/2024,PR-878138,PO-415679,PRG-12,DIR-12,CC-023,RG-01,ACT-028,V-2430,FS-01,Maintenance,1208000,394000,235000,973000,2024-02-17,Partially Paid,882,Cost Centre Manager,Critical
CMT-000059,2024-04-07,FY2023/2024,PR-402155,PO-247910,PRG-13,DIR-13,CC-020,RG-07,ACT-029,V-2220,FS-01,Printing and Stationery,1504000,1005000,565000,939000,2024-05-13,Partially Paid,784,Procurement Officer,Critical
CMT-000060,2024-01-21,FY2023/2024,PR-339470,PO-553772,PRG-12,DIR-12,CC-027,RG-03,ACT-040,V-2380,FS-02,Utilities,1269000,972000,90000,1179000,2024-05-05,Partially Paid,861,Procurement Officer,Critical
CMT-000061,2023-11-30,FY2023/2024,PR-846565,PO-498662,PRG-13,DIR-13,CC-015,RG-02,ACT-030,V-2212,FS-01,Fuel and Lubricants,3153000,3153000,1096000,2057000,2024-04-12,Partially Paid,913,Cost Centre Manager,Critical
CMT-000062,2023-10-11,FY2023/2024,PR-701696,PO-665681,PRG-05,DIR-05,CC-005,RG-01,ACT-011,V-2460,FS-04,ICT Services,998000,343000,228000,770000,2024-02-20,Partially Paid,963,Project Manager,Critical
CMT-000063,2023-12-27,FY2023/2024,PR-429571,PO-379858,PRG-13,DIR-13,CC-016,RG-03,ACT-030,V-2212,FS-02,Equipment,820000,255000,110000,710000,2024-06-22,Partially Paid,886,Project Manager,Critical
CMT-000064,2023-10-12,FY2023/2024,PR-478525,PO-949104,PRG-07,DIR-07,CC-007,RG-01,ACT-018,V-5120,FS-01,Printing and Stationery,2014000,2014000,111000,1903000,2024-01-12,Partially Paid,962,Procurement Officer,Critical
CMT-000065,2023-08-04,FY2023/2024,PR-398133,PO-665167,PRG-04,DIR-04,CC-004,RG-01,ACT-008,V-2212,FS-04,Training,1784000,738000,467000,1317000,2023-10-09,Partially Paid,1031,Procurement Officer,Critical
CMT-000066,2024-02-03,FY2023/2024,PR-336888,PO-285225,PRG-12,DIR-12,CC-024,RG-05,ACT-027,V-3110,FS-02,Consultancy,1125000,758000,81000,1044000,2024-07-17,Partially Paid,848,Cost Centre Manager,Critical
CMT-000067,2023-11-08,FY2023/2024,PR-140607,PO-612627,PRG-13,DIR-13,CC-020,RG-07,ACT-030,V-2210,FS-01,Fuel and Lubricants,552000,552000,346000,206000,2024-01-29,Partially Paid,935,Project Manager,Critical
CMT-000068,2023-08-27,FY2023/2024,PR-776449,PO-793131,PRG-03,DIR-03,CC-003,RG-01,ACT-007,V-3120,FS-01,Training,1294000,1294000,790000,504000,2023-10-09,Partially Paid,1008,Cost Centre Manager,Critical
CMT-000069,2024-04-21,FY2023/2024,PR-517719,PO-797885,PRG-11,DIR-11,CC-031,RG-01,ACT-026,V-2310,FS-01,Security Services,2494000,0,0,2494000,2024-07-02,Overdue,770,Cost Centre Manager,Critical
CMT-000070,2024-05-30,FY2023/2024,PR-284737,PO-532573,PRG-13,DIR-13,CC-017,RG-04,ACT-030,V-2360,FS-03,Construction,1571000,1192000,644000,927000,2024-11-20,Partially Paid,731,Procurement Officer,Critical
CMT-000071,2024-02-05,FY2023/2024,PR-769507,PO-955861,PRG-12,DIR-12,CC-024,RG-05,ACT-027,V-2360,FS-01,Construction,227000,227000,172000,55000,2024-07-30,Partially Paid,846,Procurement Officer,Critical
CMT-000072,2023-09-28,FY2023/2024,PR-341399,PO-241441,PRG-12,DIR-12,CC-022,RG-02,ACT-028,V-5130,FS-01,Security Services,2429000,0,0,2429000,2024-03-06,Overdue,976,Procurement Officer,Critical
CMT-000073,2023-12-18,FY2023/2024,PR-674868,PO-977260,PRG-13,DIR-13,CC-019,RG-06,ACT-030,V-2540,FS-01,Fuel and Lubricants,1915000,892000,382000,0,2024-03-10,Cancelled,895,Cost Centre Manager,Critical
CMT-000074,2024-04-22,FY2023/2024,PR-215903,PO-231188,PRG-13,DIR-13,CC-017,RG-04,ACT-030,V-2250,FS-03,Construction,2145000,1930000,1877000,268000,2024-09-01,Partially Paid,769,Cost Centre Manager,Critical
CMT-000075,2024-03-12,FY2023/2024,PR-794309,PO-651317,PRG-13,DIR-13,CC-020,RG-07,ACT-029,V-3120,FS-01,Utilities,447000,196000,158000,289000,2024-08-28,Partially Paid,810,Cost Centre Manager,Critical
CMT-000076,2023-12-08,FY2023/2024,PR-491749,PO-663616,PRG-01,DIR-01,CC-001,RG-01,ACT-038,V-2520,FS-01,Consultancy,2270000,1672000,1389000,881000,2024-05-24,Partially Paid,905,Cost Centre Manager,Critical
CMT-000077,2024-05-18,FY2023/2024,PR-506302,PO-829328,PRG-12,DIR-12,CC-027,RG-03,ACT-040,V-3120,FS-01,Utilities,2606000,2209000,1282000,1324000,2024-08-27,Partially Paid,743,Procurement Officer,Critical
CMT-000078,2023-12-02,FY2023/2024,PR-431499,PO-315032,PRG-13,DIR-13,CC-015,RG-02,ACT-030,V-2330,FS-01,Security Services,3235000,3235000,2878000,357000,2024-05-18,Partially Paid,911,Project Manager,Critical
CMT-000079,2024-05-13,FY2023/2024,PR-964555,PO-926114,PRG-11,DIR-11,CC-031,RG-01,ACT-026,V-2230,FS-01,Printing and Stationery,2119000,2119000,1956000,163000,2024-09-22,Partially Paid,748,Project Manager,Critical
CMT-000080,2024-04-20,FY2023/2024,PR-206421,PO-196077,PRG-11,DIR-11,CC-030,RG-07,ACT-025,V-3130,FS-01,Travel and Accommodation,2496000,2496000,2380000,116000,2024-05-28,Partially Paid,771,Cost Centre Manager,Critical
CMT-000081,2024-05-14,FY2023/2024,PR-481226,PO-871570,PRG-13,DIR-13,CC-019,RG-06,ACT-030,V-3120,FS-01,Professional Services,778000,276000,7000,771000,2024-08-03,Partially Paid,747,Procurement Officer,Critical
CMT-000082,2023-10-07,FY2023/2024,PR-179291,PO-922535,PRG-11,DIR-11,CC-031,RG-01,ACT-025,V-4120,FS-01,Consultancy,2651000,1527000,651000,2000000,2024-01-18,Partially Paid,967,Project Manager,Critical
CMT-000083,2023-08-26,FY2023/2024,PR-616758,PO-959215,PRG-13,DIR-13,CC-014,RG-01,ACT-029,V-4130,FS-02,Security Services,1623000,1623000,684000,939000,2024-02-12,Partially Paid,1009,Project Manager,Critical
CMT-000084,2023-07-17,FY2023/2024,PR-249206,PO-754757,PRG-05,DIR-05,CC-005,RG-01,ACT-012,V-2540,FS-02,Maintenance,2093000,1468000,3000,2090000,2023-12-15,Partially Paid,1049,Procurement Officer,Critical
CMT-000085,2024-01-25,FY2023/2024,PR-317211,PO-942126,PRG-12,DIR-12,CC-024,RG-05,ACT-040,V-2450,FS-02,Maintenance,2801000,2801000,749000,2052000,2024-03-10,Partially Paid,857,Cost Centre Manager,Critical
CMT-000086,2024-04-24,FY2023/2024,PR-406837,PO-847550,PRG-10,DIR-10,CC-010,RG-01,ACT-023,V-2430,FS-04,Security Services,166000,0,0,166000,2024-08-10,Overdue,767,Procurement Officer,Critical
CMT-000087,2023-10-02,FY2023/2024,PR-124304,PO-110848,PRG-11,DIR-11,CC-029,RG-02,ACT-025,V-2330,FS-01,Utilities,2086000,1576000,1318000,768000,2024-03-11,Partially Paid,972,Cost Centre Manager,Critical
CMT-000088,2024-05-17,FY2023/2024,PR-331937,PO-229507,PRG-13,DIR-13,CC-021,RG-08,ACT-029,V-2420,FS-02,Utilities,1461000,0,0,1461000,2024-07-27,Overdue,744,Project Manager,Critical
CMT-000089,2024-02-07,FY2023/2024,PR-882350,PO-647229,PRG-12,DIR-12,CC-027,RG-03,ACT-040,V-2310,FS-01,Travel and Accommodation,2007000,1776000,1577000,430000,2024-06-29,Partially Paid,844,Procurement Officer,Critical
CMT-000090,2023-07-14,FY2023/2024,PR-974171,PO-559235,PRG-11,DIR-11,CC-030,RG-07,ACT-025,V-2520,FS-02,Equipment,2985000,1308000,217000,2768000,2023-09-22,Partially Paid,1052,Project Manager,Critical
CMT-000091,2024-01-28,FY2023/2024,PR-411469,PO-825893,PRG-12,DIR-12,CC-022,RG-02,ACT-028,V-2450,FS-01,Consultancy,674000,557000,120000,554000,2024-07-23,Partially Paid,854,Cost Centre Manager,Critical
CMT-000092,2023-07-22,FY2023/2024,PR-617747,PO-785333,PRG-12,DIR-12,CC-012,RG-01,ACT-040,V-2510,FS-01,Travel and Accommodation,2552000,1609000,707000,1845000,2023-12-19,Partially Paid,1044,Cost Centre Manager,Critical
CMT-000093,2024-01-05,FY2023/2024,PR-634699,PO-491598,PRG-12,DIR-12,CC-023,RG-01,ACT-028,V-2220,FS-01,Professional Services,3334000,3334000,1483000,1851000,2024-03-12,Partially Paid,877,Project Manager,Critical
CMT-000094,2024-01-15,FY2023/2024,PR-252442,PO-961025,PRG-12,DIR-12,CC-026,RG-04,ACT-028,V-2250,FS-04,Printing and Stationery,2547000,1166000,646000,1901000,2024-06-25,Partially Paid,867,Cost Centre Manager,Critical
CMT-000095,2023-11-16,FY2023/2024,PR-804039,PO-678896,PRG-05,DIR-05,CC-005,RG-01,ACT-012,V-2450,FS-01,Utilities,603000,603000,31000,572000,2023-12-17,Partially Paid,927,Cost Centre Manager,Critical
CMT-000096,2024-04-14,FY2023/2024,PR-378235,PO-533346,PRG-11,DIR-11,CC-029,RG-02,ACT-026,V-2520,FS-01,Travel and Accommodation,3274000,3274000,2247000,1027000,2024-05-24,Partially Paid,777,Cost Centre Manager,Critical
CMT-000097,2024-02-20,FY2023/2024,PR-483273,PO-471926,PRG-11,DIR-11,CC-031,RG-01,ACT-026,V-2460,FS-01,Training,847000,589000,451000,396000,2024-05-31,Partially Paid,831,Procurement Officer,Critical
CMT-000098,2023-12-31,FY2023/2024,PR-676599,PO-299378,PRG-10,DIR-10,CC-010,RG-01,ACT-024,V-2230,FS-01,Printing and Stationery,457000,204000,87000,370000,2024-04-25,Partially Paid,882,Cost Centre Manager,Critical
CMT-000099,2023-07-30,FY2023/2024,PR-615486,PO-582210,PRG-12,DIR-12,CC-022,RG-02,ACT-028,V-2120,FS-03,Training,2702000,2702000,1733000,969000,2024-01-07,Partially Paid,1036,Cost Centre Manager,Critical
CMT-000100,2023-07-26,FY2023/2024,PR-233513,PO-861483,PRG-13,DIR-13,CC-018,RG-05,ACT-029,V-2250,FS-03,Training,977000,977000,610000,367000,2023-11-16,Partially Paid,1040,Cost Centre Manager,Critical
CMT-000101,2024-02-05,FY2023/2024,PR-469680,PO-169556,PRG-13,DIR-13,CC-021,RG-08,ACT-029,V-2310,FS-01,Printing and Stationery,3323000,3323000,3322000,1000,2024-04-16,Partially Paid,846,Procurement Officer,Critical
CMT-000102,2023-12-05,FY2023/2024,PR-903325,PO-215587,PRG-09,DIR-09,CC-009,RG-01,ACT-022,V-2360,FS-01,Consultancy,980000,0,0,980000,2024-05-19,Overdue,908,Cost Centre Manager,Critical
CMT-000103,2023-12-10,FY2023/2024,PR-219840,PO-568189,PRG-13,DIR-13,CC-020,RG-07,ACT-030,V-5130,FS-01,ICT Services,250000,250000,199000,51000,2024-02-29,Partially Paid,903,Cost Centre Manager,Critical
CMT-000104,2023-07-25,FY2023/2024,PR-340481,PO-214447,PRG-12,DIR-12,CC-028,RG-02,ACT-028,V-2360,FS-02,Maintenance,2536000,1816000,871000,1665000,2024-01-12,Partially Paid,1041,Cost Centre Manager,Critical
CMT-000105,2024-04-13,FY2023/2024,PR-561740,PO-961991,PRG-12,DIR-12,CC-024,RG-05,ACT-027,V-4120,FS-02,Utilities,2332000,2035000,600000,1732000,2024-07-05,Partially Paid,778,Project Manager,Critical
CMT-000106,2024-03-15,FY2023/2024,PR-527040,PO-227534,PRG-10,DIR-10,CC-010,RG-01,ACT-023,V-4130,FS-01,Construction,578000,264000,123000,455000,2024-08-27,Partially Paid,807,Cost Centre Manager,Critical
CMT-000107,2024-05-27,FY2023/2024,PR-538380,PO-664454,PRG-02,DIR-02,CC-002,RG-01,ACT-004,V-2520,FS-04,Equipment,308000,0,0,308000,2024-07-19,Overdue,734,Project Manager,Critical
CMT-000108,2023-12-24,FY2023/2024,PR-933989,PO-432301,PRG-12,DIR-12,CC-028,RG-02,ACT-027,V-2360,FS-01,ICT Services,2516000,2516000,1532000,984000,2024-03-29,Partially Paid,889,Project Manager,Critical
CMT-000109,2023-12-18,FY2023/2024,PR-320484,PO-499322,PRG-12,DIR-12,CC-027,RG-03,ACT-027,V-2390,FS-01,Maintenance,467000,0,0,467000,2024-06-02,Overdue,895,Cost Centre Manager,Critical
CMT-000110,2023-10-22,FY2023/2024,PR-522948,PO-849257,PRG-11,DIR-11,CC-029,RG-02,ACT-025,V-2430,FS-03,Fuel and Lubricants,1917000,733000,345000,1572000,2024-04-04,Partially Paid,952,Cost Centre Manager,Critical
CMT-000111,2023-08-12,FY2023/2024,PR-315429,PO-682890,PRG-10,DIR-10,CC-010,RG-01,ACT-023,V-2520,FS-01,Security Services,788000,788000,74000,714000,2023-09-15,Partially Paid,1023,Procurement Officer,Critical
CMT-000112,2024-01-24,FY2023/2024,PR-126434,PO-841040,PRG-09,DIR-09,CC-009,RG-01,ACT-022,V-2212,FS-01,Equipment,1461000,1461000,1169000,292000,2024-07-02,Partially Paid,858,Project Manager,Critical
CMT-000113,2023-11-20,FY2023/2024,PR-122254,PO-761692,PRG-11,DIR-11,CC-030,RG-07,ACT-025,V-5110,FS-04,Equipment,1329000,1329000,723000,606000,2024-02-20,Partially Paid,923,Project Manager,Critical
CMT-000114,2024-05-25,FY2023/2024,PR-108080,PO-675025,PRG-13,DIR-13,CC-020,RG-07,ACT-029,V-2250,FS-02,Security Services,3317000,2464000,891000,2426000,2024-10-04,Partially Paid,736,Cost Centre Manager,Critical
