SubActivityCode,SubActivityName,ActivityCode
ACT-029-S02,Regional Service Coordination - Sub-Activity 2,ACT-029
ACT-029-S03,Regional Service Coordination - Sub-Activity 3,ACT-029
ACT-030-S01,Community Outreach - Sub-Activity 1,ACT-030
ACT-030-S02,Community Outreach - Sub-Activity 2,ACT-030
ACT-031-S01,Donor Programme Implementation - Sub-Activity 1,ACT-031
ACT-031-S02,Donor Programme Implementation - Sub-Activity 2,ACT-031
ACT-031-S03,Donor Programme Implementation - Sub-Activity 3,ACT-031
ACT-032-S01,Donor Reporting and Compliance - Sub-Activity 1,ACT-032
ACT-032-S02,Donor Reporting and Compliance - Sub-Activity 2,ACT-032
ACT-032-S03,Donor Reporting and Compliance - Sub-Activity 3,ACT-032
ACT-033-S01,Pilot Programme Operations - Sub-Activity 1,ACT-033
ACT-033-S02,Pilot Programme Operations - Sub-Activity 2,ACT-033
ACT-033-S03,Pilot Programme Operations - Sub-Activity 3,ACT-033
ACT-033-S04,Pilot Programme Operations - Sub-Activity 4,ACT-033
ACT-034-S01,Innovation and Technology Pilots - Sub-Activity 1,ACT-034
ACT-034-S02,Innovation and Technology Pilots - Sub-Activity 2,ACT-034
ACT-034-S03,Innovation and Technology Pilots - Sub-Activity 3,ACT-034
ACT-035-S01,Revenue Collection and Management - Sub-Activity 1,ACT-035
ACT-035-S02,Revenue Collection and Management - Sub-Activity 2,ACT-035
ACT-036-S01,Asset Management - Sub-Activity 1,ACT-036
ACT-036-S02,Asset Management - Sub-Activity 2,ACT-036
ACT-036-S03,Asset Management - Sub-Activity 3,ACT-036
ACT-036-S04,Asset Management - Sub-Activity 4,ACT-036
ACT-037-S01,Fleet Management - Sub-Activity 1,ACT-037
ACT-037-S02,Fleet Management - Sub-Activity 2,ACT-037
ACT-037-S03,Fleet Management - Sub-Activity 3,ACT-037
ACT-038-S01,Facility Management - Sub-Activity 1,ACT-038
ACT-038-S02,Facility Management - Sub-Activity 2,ACT-038
ACT-038-S03,Facility Management - Sub-Activity 3,ACT-038
ACT-038-S04,Facility Management - Sub-Activity 4,ACT-038
ACT-039-S01,Security Services - Sub-Activity 1,ACT-039
ACT-039-S02,Security Services - Sub-Activity 2,ACT-039
ACT-040-S01,Environmental and Social Safeguards - Sub-Activity 1,ACT-040
ACT-040-S02,Environmental and Social Safeguards - Sub-Activity 2,ACT-040
ACT-040-S03,Environmental and Social Safeguards - Sub-Activity 3,ACT-040
