ExceptionID,DetectionDate,FinancialYear,DirectorateCode,CostCentreCode,RegionCode,TransactionReference,ExceptionType,ExceptionDescription,AmountAtRisk,RiskRating,ResponsibleRole,CorrectiveAction,TargetResolutionDate,ResolutionDate,Status,DaysOutstanding,RepeatFindingFlag
EXC-000011,2024-02-08,FY2023/2024,DIR-03,CC-003,RG-01,TXN-343527,Long-Outstanding Commitment,"Long-Outstanding Commitment identified in Strategy, Planning and Performance Directorate - HQ",1495000,Low,Procurement Officer,Obtain missing documents and repost transaction,2024-04-29,2024-05-21,Resolved,143,No
EXC-000012,2024-03-26,FY2023/2024,DIR-12,CC-024,RG-05,TXN-583694,Procurement Non-Compliance,Procurement Non-Compliance identified in Infrastructure Project Unit 03,205000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2024-04-27,,Open,96,No
EXC-000013,2023-09-15,FY2023/2024,DIR-13,CC-018,RG-05,TXN-153039,Unsupported Reallocation,Unsupported Reallocation identified in Regional Office - North Eastern Region,1069000,Low,Cost Centre Manager,Obtain missing documents and repost transaction,2023-11-24,,Escalated,289,No
EXC-000014,2023-07-18,FY2023/2024,DIR-12,CC-022,RG-02,TXN-287368,Incorrect Vote Code,Incorrect Vote Code identified in Infrastructure Project Unit 01,331000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2023-10-04,,Open,348,No
EXC-000015,2023-10-25,FY2023/2024,DIR-02,CC-002,RG-01,TXN-104400,Expenditure Above Budget,Expenditure Above Budget identified in Finance and Accounts Directorate - HQ,58000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2023-11-18,,In Progress,249,Yes
EXC-000016,2023-07-09,FY2023/2024,DIR-12,CC-028,RG-02,TXN-273966,Long-Outstanding Commitment,Long-Outstanding Commitment identified in Infrastructure Project Unit 07,166000,Low,Procurement Officer,Obtain missing documents and repost transaction,2023-08-03,,Open,357,No
EXC-000017,2023-12-03,FY2023/2024,DIR-02,CC-002,RG-01,TXN-551728,Duplicate Payment Risk,Duplicate Payment Risk identified in Finance and Accounts Directorate - HQ,261000,Low,Procurement Officer,Obtain missing documents and repost transaction,2023-12-23,,Open,210,Yes
EXC-000018,2024-02-11,FY2023/2024,DIR-07,CC-007,RG-01,TXN-846452,Expenditure Above Budget,Expenditure Above Budget identified in Legal and Corporation Secretary Directorate - HQ,210000,High,Cost Centre Manager,Obtain missing documents and repost transaction,2024-05-04,2024-04-26,Resolved,140,No
EXC-000019,2023-12-21,FY2023/2024,DIR-12,CC-024,RG-05,TXN-983644,Long-Outstanding Commitment,Long-Outstanding Commitment identified in Infrastructure Project Unit 03,1057000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2024-02-23,,In Progress,192,No
EXC-000020,2024-02-09,FY2023/2024,DIR-13,CC-016,RG-03,TXN-886390,Duplicate Payment Risk,Duplicate Payment Risk identified in Regional Office - Coast Region,1280000,High,Procurement Officer,Obtain missing documents and repost transaction,2024-03-13,2024-04-10,Resolved,142,No
EXC-000021,2023-08-23,FY2023/2024,DIR-12,CC-025,RG-04,TXN-977714,Expenditure Above Budget,Expenditure Above Budget identified in Infrastructure Project Unit 04,1396000,Low,Procurement Officer,Obtain missing documents and repost transaction,2023-11-03,,Deferred,312,No
EXC-000022,2023-08-06,FY2023/2024,DIR-11,CC-032,RG-01,TXN-483511,Unreconciled Transaction,Unreconciled Transaction identified in Technical Service Unit 04,1356000,Critical,Procurement Officer,Obtain missing documents and repost transaction,2023-10-05,,In Progress,329,No
EXC-000023,2024-04-06,FY2023/2024,DIR-04,CC-004,RG-01,TXN-105500,Long-Outstanding Commitment,Long-Outstanding Commitment identified in Human Resource and Administration Directorate - HQ,1072000,Critical,Procurement Officer,Obtain missing documents and repost transaction,2024-05-26,2024-06-05,Resolved,85,No
EXC-000024,2024-01-20,FY2023/2024,DIR-12,CC-023,RG-01,TXN-903237,Delayed Banking,Delayed Banking identified in Infrastructure Project Unit 02,1112000,High,Chief Accountant,Obtain missing documents and repost transaction,2024-02-13,2024-02-29,Resolved,162,Yes
EXC-000025,2024-03-21,FY2023/2024,DIR-12,CC-023,RG-01,TXN-224986,Unsupported Reallocation,Unsupported Reallocation identified in Infrastructure Project Unit 02,1108000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2024-04-15,,Open,101,No
EXC-000026,2023-10-17,FY2023/2024,DIR-12,CC-012,RG-01,TXN-520234,Incorrect Vote Code,Incorrect Vote Code identified in Projects and Infrastructure Directorate - HQ,183000,Low,Cost Centre Manager,Obtain missing documents and repost transaction,2023-11-25,2023-12-17,Resolved,257,No
EXC-000027,2024-04-15,FY2023/2024,DIR-08,CC-008,RG-01,TXN-919772,Long-Outstanding Commitment,Long-Outstanding Commitment identified in Internal Audit and Risk Directorate - HQ,562000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2024-05-12,,Open,76,No
EXC-000028,2023-07-27,FY2023/2024,DIR-12,CC-027,RG-03,TXN-480124,Incorrect Vote Code,Incorrect Vote Code identified in Infrastructure Project Unit 06,1267000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2023-08-14,,In Progress,339,No
EXC-000029,2024-06-14,FY2023/2024,DIR-11,CC-029,RG-02,TXN-130611,Long-Outstanding Commitment,Long-Outstanding Commitment identified in Technical Service Unit 01,162000,High,Procurement Officer,Obtain missing documents and repost transaction,2024-07-15,,Open,16,Yes
EXC-000030,2024-01-01,FY2023/2024,DIR-07,CC-007,RG-01,TXN-338965,Delayed Banking,Delayed Banking identified in Legal and Corporation Secretary Directorate - HQ,55000,Low,Procurement Officer,Obtain missing documents and repost transaction,2024-02-23,2024-02-24,Resolved,181,No
EXC-000031,2024-03-17,FY2023/2024,DIR-12,CC-012,RG-01,TXN-840510,Expenditure Above Budget,Expenditure Above Budget identified in Projects and Infrastructure Directorate - HQ,78000,Low,Chief Accountant,Obtain missing documents and repost transaction,2024-06-14,2024-07-05,Resolved,105,No
EXC-000032,2024-05-01,FY2023/2024,DIR-13,CC-016,RG-03,TXN-343403,Incorrect Vote Code,Incorrect Vote Code identified in Regional Office - Coast Region,285000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2024-06-08,,Open,60,No
EXC-000033,2024-06-05,FY2023/2024,DIR-13,CC-021,RG-08,TXN-427346,Procurement Non-Compliance,Procurement Non-Compliance identified in Regional Office - Western Region,239000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2024-07-02,,Escalated,25,Yes
EXC-000034,2023-08-29,FY2023/2024,DIR-13,CC-020,RG-07,TXN-415072,Expenditure Above Budget,Expenditure Above Budget identified in Regional Office - Rift Valley Region,948000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2023-10-15,,Open,306,No
EXC-000035,2024-05-19,FY2023/2024,DIR-12,CC-027,RG-03,TXN-963707,Unreconciled Transaction,Unreconciled Transaction identified in Infrastructure Project Unit 06,446000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2024-08-13,,Escalated,42,No
EXC-000036,2023-09-29,FY2023/2024,DIR-13,CC-020,RG-07,TXN-280585,Long-Outstanding Commitment,Long-Outstanding Commitment identified in Regional Office - Rift Valley Region,525000,High,Cost Centre Manager,Obtain missing documents and repost transaction,2023-12-27,,Open,275,No
EXC-000037,2024-01-12,FY2023/2024,DIR-13,CC-014,RG-01,TXN-791836,Duplicate Payment Risk,Duplicate Payment Risk identified in Regional Office - Nairobi Region,1493000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2024-03-23,,Deferred,170,No
EXC-000038,2023-10-15,FY2023/2024,DIR-06,CC-006,RG-01,TXN-408543,Unreconciled Transaction,Unreconciled Transaction identified in Information and Communication Technology Directorate - HQ,1053000,Low,Chief Accountant,Obtain missing documents and repost transaction,2023-12-30,2023-12-22,Resolved,259,No
EXC-000039,2024-03-11,FY2023/2024,DIR-10,CC-010,RG-01,TXN-511137,Incorrect Vote Code,"Incorrect Vote Code identified in Research, Monitoring and Evaluation Directorate - HQ",1445000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2024-06-04,2024-06-28,Resolved,111,Yes
EXC-000040,2024-05-21,FY2023/2024,DIR-08,CC-008,RG-01,TXN-836090,Long-Outstanding Commitment,Long-Outstanding Commitment identified in Internal Audit and Risk Directorate - HQ,1201000,Low,Procurement Officer,Obtain missing documents and repost transaction,2024-07-08,,Open,40,No
EXC-000041,2024-05-30,FY2023/2024,DIR-11,CC-011,RG-01,TXN-241788,Procurement Non-Compliance,Procurement Non-Compliance identified in Technical Operations Directorate - HQ,461000,Critical,Chief Accountant,Obtain missing documents and repost transaction,2024-06-27,,Open,31,Yes
EXC-000042,2023-07-29,FY2023/2024,DIR-11,CC-011,RG-01,TXN-542539,Approval-Control Gap,Approval-Control Gap identified in Technical Operations Directorate - HQ,669000,High,Chief Accountant,Obtain missing documents and repost transaction,2023-09-10,,Open,337,No
EXC-000043,2024-05-15,FY2023/2024,DIR-05,CC-005,RG-01,TXN-753425,Approval-Control Gap,Approval-Control Gap identified in Procurement and Supply Chain Directorate - HQ,1495000,Low,Procurement Officer,Obtain missing documents and repost transaction,2024-06-23,,In Progress,46,No
EXC-000044,2024-04-01,FY2023/2024,DIR-04,CC-004,RG-01,TXN-377851,Unsupported Reallocation,Unsupported Reallocation identified in Human Resource and Administration Directorate - HQ,218000,Low,Cost Centre Manager,Obtain missing documents and repost transaction,2024-04-28,,In Progress,90,No
EXC-000045,2024-05-14,FY2023/2024,DIR-02,CC-002,RG-01,TXN-267735,Missing Supporting Documents,Missing Supporting Documents identified in Finance and Accounts Directorate - HQ,112000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2024-07-16,,Open,47,No
EXC-000046,2024-01-17,FY2023/2024,DIR-13,CC-017,RG-04,TXN-713755,Duplicate Payment Risk,Duplicate Payment Risk identified in Regional Office - Eastern Region,1412000,Critical,Chief Accountant,Obtain missing documents and repost transaction,2024-03-15,,In Progress,165,No
EXC-000047,2023-12-24,FY2023/2024,DIR-10,CC-010,RG-01,TXN-296551,Long-Outstanding Commitment,"Long-Outstanding Commitment identified in Research, Monitoring and Evaluation Directorate - HQ",1295000,High,Procurement Officer,Obtain missing documents and repost transaction,2024-03-02,,Open,189,No
EXC-000048,2023-09-10,FY2023/2024,DIR-12,CC-026,RG-04,TXN-555572,Unsupported Reallocation,Unsupported Reallocation identified in Infrastructure Project Unit 05,1265000,High,Cost Centre Manager,Obtain missing documents and repost transaction,2023-10-29,,In Progress,294,No
EXC-000049,2024-05-26,FY2023/2024,DIR-12,CC-024,RG-05,TXN-346003,Incorrect Vote Code,Incorrect Vote Code identified in Infrastructure Project Unit 03,726000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2024-07-27,,In Progress,35,No
EXC-000050,2023-10-21,FY2023/2024,DIR-13,CC-018,RG-05,TXN-872344,Duplicate Payment Risk,Duplicate Payment Risk identified in Regional Office - North Eastern Region,1263000,Critical,Chief Accountant,Obtain missing documents and repost transaction,2023-11-30,,In Progress,253,No
EXC-000051,2024-02-21,FY2023/2024,DIR-12,CC-012,RG-01,TXN-852428,Delayed Banking,Delayed Banking identified in Projects and Infrastructure Directorate - HQ,691000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2024-05-08,2024-06-03,Resolved,130,No
EXC-000052,2023-11-08,FY2023/2024,DIR-04,CC-004,RG-01,TXN-613735,Duplicate Payment Risk,Duplicate Payment Risk identified in Human Resource and Administration Directorate - HQ,1108000,High,Chief Accountant,Obtain missing documents and repost transaction,2023-12-22,,Open,235,No
EXC-000053,2023-09-24,FY2023/2024,DIR-13,CC-014,RG-01,TXN-990564,Approval-Control Gap,Approval-Control Gap identified in Regional Office - Nairobi Region,1129000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2023-10-14,,Open,280,No
EXC-000054,2024-01-20,FY2023/2024,DIR-11,CC-029,RG-02,TXN-141575,Procurement Non-Compliance,Procurement Non-Compliance identified in Technical Service Unit 01,402000,Low,Chief Accountant,Obtain missing documents and repost transaction,2024-04-18,2024-04-10,Resolved,162,No
EXC-000055,2023-10-09,FY2023/2024,DIR-02,CC-002,RG-01,TXN-592837,Expenditure Above Budget,Expenditure Above Budget identified in Finance and Accounts Directorate - HQ,612000,High,Cost Centre Manager,Obtain missing documents and repost transaction,2023-11-18,2023-11-16,Resolved,265,No
EXC-000056,2023-07-23,FY2023/2024,DIR-04,CC-004,RG-01,TXN-353048,Duplicate Payment Risk,Duplicate Payment Risk identified in Human Resource and Administration Directorate - HQ,61000,High,Chief Accountant,Obtain missing documents and repost transaction,2023-08-27,,Escalated,343,No
EXC-000057,2024-03-05,FY2023/2024,DIR-01,CC-001,RG-01,TXN-316511,Incorrect Vote Code,Incorrect Vote Code identified in Office of the Chief Executive Officer - HQ,779000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2024-03-29,2024-04-16,Resolved,117,No
EXC-000058,2023-12-14,FY2023/2024,DIR-06,CC-006,RG-01,TXN-506763,Approval-Control Gap,Approval-Control Gap identified in Information and Communication Technology Directorate - HQ,1148000,Low,Procurement Officer,Obtain missing documents and repost transaction,2023-12-29,,Open,199,No
EXC-000059,2024-03-20,FY2023/2024,DIR-13,CC-019,RG-06,TXN-922327,Unsupported Reallocation,Unsupported Reallocation identified in Regional Office - Nyanza Region,1226000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2024-05-10,2024-05-07,Resolved,102,No
EXC-000060,2023-11-13,FY2023/2024,DIR-12,CC-025,RG-04,TXN-647103,Delayed Banking,Delayed Banking identified in Infrastructure Project Unit 04,448000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2024-02-02,,Deferred,230,No
EXC-000061,2023-07-23,FY2023/2024,DIR-03,CC-003,RG-01,TXN-640979,Missing Supporting Documents,"Missing Supporting Documents identified in Strategy, Planning and Performance Directorate - HQ",193000,Low,Cost Centre Manager,Obtain missing documents and repost transaction,2023-09-05,,Open,343,No
EXC-000062,2023-09-21,FY2023/2024,DIR-11,CC-029,RG-02,TXN-903254,Unsupported Reallocation,Unsupported Reallocation identified in Technical Service Unit 01,1150000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2023-12-14,,Open,283,No
EXC-000063,2023-08-20,FY2023/2024,DIR-09,CC-009,RG-01,TXN-959617,Delayed Banking,Delayed Banking identified in Corporate Communications and Customer Experience Directorate - HQ,306000,High,Chief Accountant,Obtain missing documents and repost transaction,2023-09-05,,In Progress,315,No
EXC-000064,2024-01-04,FY2023/2024,DIR-11,CC-032,RG-01,TXN-461675,Procurement Non-Compliance,Procurement Non-Compliance identified in Technical Service Unit 04,664000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2024-02-24,,Open,178,No
EXC-000065,2024-02-04,FY2023/2024,DIR-11,CC-030,RG-07,TXN-984645,Duplicate Payment Risk,Duplicate Payment Risk identified in Technical Service Unit 02,1174000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2024-02-23,2024-03-19,Resolved,147,No
EXC-000066,2023-12-02,FY2023/2024,DIR-13,CC-016,RG-03,TXN-573464,Incorrect Vote Code,Incorrect Vote Code identified in Regional Office - Coast Region,1274000,Critical,Cost Centre Manager,Obtain missing documents and repost transaction,2023-12-17,,Open,211,No
EXC-000067,2023-09-07,FY2023/2024,DIR-12,CC-025,RG-04,TXN-457340,Unreconciled Transaction,Unreconciled Transaction identified in Infrastructure Project Unit 04,979000,Low,Procurement Officer,Obtain missing documents and repost transaction,2023-10-24,,Escalated,297,No
EXC-000068,2024-04-08,FY2023/2024,DIR-13,CC-020,RG-07,TXN-282611,Unsupported Reallocation,Unsupported Reallocation identified in Regional Office - Rift Valley Region,1243000,Low,Procurement Officer,Obtain missing documents and repost transaction,2024-05-24,,Open,83,No
EXC-000069,2023-11-25,FY2023/2024,DIR-11,CC-011,RG-01,TXN-262319,Duplicate Payment Risk,Duplicate Payment Risk identified in Technical Operations Directorate - HQ,382000,High,Chief Accountant,Obtain missing documents and repost transaction,2024-01-01,2023-12-31,Resolved,218,No
EXC-000070,2023-10-21,FY2023/2024,DIR-13,CC-013,RG-01,TXN-531738,Unsupported Reallocation,Unsupported Reallocation identified in Regional Operations Directorate - HQ,1098000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2023-11-28,2023-12-28,Resolved,253,Yes
EXC-000071,2023-07-20,FY2023/2024,DIR-01,CC-001,RG-01,TXN-441923,Long-Outstanding Commitment,Long-Outstanding Commitment identified in Office of the Chief Executive Officer - HQ,270000,Low,Cost Centre Manager,Obtain missing documents and repost transaction,2023-09-18,,Open,346,No
EXC-000072,2023-08-03,FY2023/2024,DIR-12,CC-026,RG-04,TXN-807711,Expenditure Above Budget,Expenditure Above Budget identified in Infrastructure Project Unit 05,331000,Low,Chief Accountant,Obtain missing documents and repost transaction,2023-09-09,,In Progress,332,No
EXC-000073,2024-03-13,FY2023/2024,DIR-10,CC-010,RG-01,TXN-443183,Unreconciled Transaction,"Unreconciled Transaction identified in Research, Monitoring and Evaluation Directorate - HQ",1330000,Low,Cost Centre Manager,Obtain missing documents and repost transaction,2024-06-04,,Open,109,No
EXC-000074,2024-01-16,FY2023/2024,DIR-12,CC-023,RG-01,TXN-558149,Incorrect Vote Code,Incorrect Vote Code identified in Infrastructure Project Unit 02,612000,Low,Chief Accountant,Obtain missing documents and repost transaction,2024-04-15,,In Progress,166,No
EXC-000075,2024-04-22,FY2023/2024,DIR-12,CC-023,RG-01,TXN-519674,Duplicate Payment Risk,Duplicate Payment Risk identified in Infrastructure Project Unit 02,183000,Critical,Chief Accountant,Obtain missing documents and repost transaction,2024-06-11,,Open,69,No
EXC-000076,2024-02-26,FY2023/2024,DIR-09,CC-009,RG-01,TXN-220947,Expenditure Above Budget,Expenditure Above Budget identified in Corporate Communications and Customer Experience Directorate - HQ,363000,High,Procurement Officer,Obtain missing documents and repost transaction,2024-04-27,,Open,125,Yes
EXC-000077,2024-02-19,FY2023/2024,DIR-05,CC-005,RG-01,TXN-649311,Unreconciled Transaction,Unreconciled Transaction identified in Procurement and Supply Chain Directorate - HQ,1158000,Low,Cost Centre Manager,Obtain missing documents and repost transaction,2024-04-30,2024-05-06,Resolved,132,No
EXC-000078,2023-10-30,FY2023/2024,DIR-11,CC-030,RG-07,TXN-202001,Unsupported Reallocation,Unsupported Reallocation identified in Technical Service Unit 02,1324000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2023-11-15,,In Progress,244,No
EXC-000079,2024-06-14,FY2023/2024,DIR-01,CC-001,RG-01,TXN-702095,Duplicate Payment Risk,Duplicate Payment Risk identified in Office of the Chief Executive Officer - HQ,186000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2024-07-09,,Open,16,Yes
EXC-000080,2024-01-14,FY2023/2024,DIR-03,CC-003,RG-01,TXN-169502,Incorrect Vote Code,"Incorrect Vote Code identified in Strategy, Planning and Performance Directorate - HQ",895000,Low,Chief Accountant,Obtain missing documents and repost transaction,2024-04-01,2024-04-11,Resolved,168,No
EXC-000081,2024-05-25,FY2023/2024,DIR-12,CC-028,RG-02,TXN-753044,Delayed Banking,Delayed Banking identified in Infrastructure Project Unit 07,1227000,Critical,Chief Accountant,Obtain missing documents and repost transaction,2024-06-11,,In Progress,36,No
EXC-000082,2023-08-10,FY2023/2024,DIR-12,CC-028,RG-02,TXN-165287,Expenditure Above Budget,Expenditure Above Budget identified in Infrastructure Project Unit 07,1270000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2023-09-30,,Open,325,No
EXC-000083,2024-05-09,FY2023/2024,DIR-08,CC-008,RG-01,TXN-535939,Expenditure Above Budget,Expenditure Above Budget identified in Internal Audit and Risk Directorate - HQ,792000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2024-06-29,2024-07-01,Resolved,52,No
EXC-000084,2023-10-08,FY2023/2024,DIR-11,CC-029,RG-02,TXN-522776,Procurement Non-Compliance,Procurement Non-Compliance identified in Technical Service Unit 01,377000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2023-11-18,2023-12-06,Resolved,266,No
EXC-000085,2023-11-06,FY2023/2024,DIR-08,CC-008,RG-01,TXN-841651,Missing Supporting Documents,Missing Supporting Documents identified in Internal Audit and Risk Directorate - HQ,303000,Critical,Chief Accountant,Obtain missing documents and repost transaction,2024-01-25,2024-02-09,Resolved,237,No
EXC-000086,2023-12-03,FY2023/2024,DIR-09,CC-009,RG-01,TXN-494062,Duplicate Payment Risk,Duplicate Payment Risk identified in Corporate Communications and Customer Experience Directorate - HQ,826000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2024-02-15,2024-02-28,Resolved,210,No
EXC-000087,2023-10-22,FY2023/2024,DIR-12,CC-024,RG-05,TXN-436844,Duplicate Payment Risk,Duplicate Payment Risk identified in Infrastructure Project Unit 03,1355000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2023-11-08,2023-11-27,Resolved,252,No
EXC-000088,2023-08-12,FY2023/2024,DIR-01,CC-001,RG-01,TXN-658110,Unsupported Reallocation,Unsupported Reallocation identified in Office of the Chief Executive Officer - HQ,103000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2023-10-18,,In Progress,323,No
EXC-000089,2023-10-06,FY2023/2024,DIR-12,CC-025,RG-04,TXN-865366,Procurement Non-Compliance,Procurement Non-Compliance identified in Infrastructure Project Unit 04,550000,High,Cost Centre Manager,Obtain missing documents and repost transaction,2023-12-07,2024-01-03,Resolved,268,No
EXC-000090,2023-11-05,FY2023/2024,DIR-13,CC-014,RG-01,TXN-855153,Incorrect Vote Code,Incorrect Vote Code identified in Regional Office - Nairobi Region,1181000,High,Cost Centre Manager,Obtain missing documents and repost transaction,2023-11-28,,In Progress,238,No
EXC-000091,2025-04-09,FY2024/2025,DIR-13,CC-018,RG-05,TXN-822661,Approval-Control Gap,Approval-Control Gap identified in Regional Office - North Eastern Region,811000,High,Procurement Officer,Obtain missing documents and repost transaction,2025-06-11,,Open,82,No
EXC-000092,2024-07-29,FY2024/2025,DIR-13,CC-016,RG-03,TXN-647163,Expenditure Above Budget,Expenditure Above Budget identified in Regional Office - Coast Region,829000,High,Chief Accountant,Obtain missing documents and repost transaction,2024-10-23,2024-10-18,Resolved,336,No
EXC-000093,2025-03-22,FY2024/2025,DIR-12,CC-012,RG-01,TXN-485717,Procurement Non-Compliance,Procurement Non-Compliance identified in Projects and Infrastructure Directorate - HQ,808000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2025-05-23,,In Progress,100,Yes
EXC-000094,2025-01-08,FY2024/2025,DIR-13,CC-018,RG-05,TXN-656403,Missing Supporting Documents,Missing Supporting Documents identified in Regional Office - North Eastern Region,509000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2025-03-16,,Open,173,No
EXC-000095,2024-07-23,FY2024/2025,DIR-13,CC-014,RG-01,TXN-967400,Incorrect Vote Code,Incorrect Vote Code identified in Regional Office - Nairobi Region,254000,High,Cost Centre Manager,Obtain missing documents and repost transaction,2024-09-28,2024-09-30,Resolved,342,No
EXC-000096,2025-04-22,FY2024/2025,DIR-12,CC-024,RG-05,TXN-841756,Delayed Banking,Delayed Banking identified in Infrastructure Project Unit 03,1255000,High,Procurement Officer,Obtain missing documents and repost transaction,2025-06-21,,Open,69,No
EXC-000097,2025-01-11,FY2024/2025,DIR-08,CC-008,RG-01,TXN-716060,Duplicate Payment Risk,Duplicate Payment Risk identified in Internal Audit and Risk Directorate - HQ,980000,High,Cost Centre Manager,Obtain missing documents and repost transaction,2025-03-22,,Open,170,Yes
EXC-000098,2025-04-16,FY2024/2025,DIR-12,CC-026,RG-04,TXN-161345,Incorrect Vote Code,Incorrect Vote Code identified in Infrastructure Project Unit 05,412000,Low,Cost Centre Manager,Obtain missing documents and repost transaction,2025-06-01,,Escalated,75,Yes
EXC-000099,2025-02-20,FY2024/2025,DIR-13,CC-014,RG-01,TXN-925110,Expenditure Above Budget,Expenditure Above Budget identified in Regional Office - Nairobi Region,631000,Low,Chief Accountant,Obtain missing documents and repost transaction,2025-03-29,2025-03-19,Resolved,130,No
EXC-000100,2024-10-25,FY2024/2025,DIR-11,CC-011,RG-01,TXN-416948,Delayed Banking,Delayed Banking identified in Technical Operations Directorate - HQ,434000,High,Chief Accountant,Obtain missing documents and repost transaction,2024-12-31,,Open,248,No
EXC-000101,2025-02-10,FY2024/2025,DIR-13,CC-020,RG-07,TXN-550838,Unsupported Reallocation,Unsupported Reallocation identified in Regional Office - Rift Valley Region,901000,Critical,Procurement Officer,Obtain missing documents and repost transaction,2025-03-26,,In Progress,140,No
EXC-000102,2024-07-08,FY2024/2025,DIR-11,CC-011,RG-01,TXN-631047,Delayed Banking,Delayed Banking identified in Technical Operations Directorate - HQ,1182000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2024-08-22,,Open,357,No
